volume,plate,ku_id,ku_title,ku_english,ku_printed_latin,ku_sci,note
V,32,ku-gould:13768,Red-capped Parrot. 32. plate,Red-capped Parrot,Platycercus pileatus,Purpureicephalus spurius,printed_english=Red-capped parrakeet
V,33,ku-gould:13764,Bluebonnet. 33. plate,Bluebonnet,Psephotus haematogaster,Northiella haematogaster,printed_english=Crimson-bellied parrakeet
V,34,ku-gould:13760,"Beautiful Parakeet, Paradise Parakeet. 34. plate","Beautiful Parakeet, Paradise Parakeet",Beautiful parrakeet,Psephotus pulcherrimus,
V,35,ku-gould:13756,Mulga Parrot. 35. plate,Mulga Parrot,Psephotus multicolor,Psephotus varius,printed_english=Many-coloured parrakeet
V,36,ku-gould:13752,Red-rumped Parrot. 36. plate,Red-rumped Parrot,,Psephotus haematonotus,printed_alt_name=Red-backed parrakeet
V,37,ku-gould:13748,Blue-winged Parrot. 37. plate,Blue-winged Parrot,Euphema chrysostoma,Neophema chrysostoma,printed_english=Blue-banded grass-parrakeet
V,38,ku-gould:13744,Elegant Parrot. 38. plate,Elegant Parrot,Euphema elegans,Neophema elegans,printed_english=Elegant grass-parrakeet
V,39,ku-gould:13740,"Orange-bellied Parakeet, Orange-bellied Parrot. 39. plate","Orange-bellied Parakeet, Orange-bellied Parrot",Euphema aurantia,Neophema chrysogaster,printed_english=Orange-bellied grass-parrakeet
V,40,ku-gould:13736,Rock Parrot. 40. plate,Rock Parrot,Euphema petrophila,Neophema petrophila,printed_english=Rock grass-parrakeet
V,41,ku-gould:13732,"Turquoise Parakeet, Turquoise Parrot. 41. plate","Turquoise Parakeet, Turquoise Parrot",Euphema pulchella,Neophema pulchella,printed_english=Chestnut-shouldered grass parrakeet
V,42,ku-gould:13728,"Scarlet-chested Parakeet, Scarlet-chested Parrot, Splendid Parakeet. 42. plate","Scarlet-chested Parakeet, Scarlet-chested Parrot, Splendid Parakeet",Euphema splendida,Neophema splendida,printed_english=Splendid grass-parrakeet
V,43,ku-gould:13724,Bourke's Parrot. 43. plate,Bourke's Parrot,Euphema bourkii,Neopsephotus bourkii,printed_english=Bourke's grass-parrakeet
V,44,ku-gould:13720,Budgerigar. 44. plate,Budgerigar,Warbling grass-parrakeet,Melopsittacus undulatus,
V,45,ku-gould:13716,Cockatiel. 45. plate,Cockatiel,Nymphicus novae hollandiae,Nymphicus hollandicus,printed_english=Cockatoo parrakeet
V,46,ku-gould:13712,Ground Parrot. 46. plate,Ground Parrot,Pezoporus formosus,Pezoporus wallicus,printed_english=Ground parrakeet
V,47,ku-gould:13708,Swift Parrot. 47. plate,Swift Parrot,Swift lorikeet,Lathamus discolor,
V,48,ku-gould:13704,Coconut Lorikeet. 48. plate,Coconut Lorikeet,Trichoglossus swainsonii,Trichoglossus haematodus,printed_english=Swainson's lorikeet
V,49,ku-gould:13700,Red-collared Lorikeet. 49. plate,Red-collared Lorikeet,,Trichoglossus rubritorquis,
V,50,ku-gould:13696,Scaly-breasted Lorikeet. 50. plate,Scaly-breasted Lorikeet,,Trichoglossus chlorolepidotus,
V,51,ku-gould:13692,Varied Lorikeet. 51. plate,Varied Lorikeet,Trichoglossus versicolor,Psitteuteles versicolor,
V,52,ku-gould:13688,Musk Lorikeet. 52. plate,Musk Lorikeet,Trichoglossus concinnus,Glossopsitta concinna,printed_english=Musky lorikeet
V,53,ku-gould:13684,Purple-crowned Lorikeet. 53. plate,Purple-crowned Lorikeet,Trichoglossus porphyrocephalus,Glossopsitta porphyrocephala,printed_english=Porphyry-crowned lorikeet
V,54,ku-gould:13680,Little Lorikeet. 54. plate,Little Lorikeet,Trichoglossus pusillus,Glossopsitta pusilla,
V,55,ku-gould:13676,Rose-crowned Fruit Dove. 55. plate,Rose-crowned Fruit Dove,Ptilinopus swainsonii,Ptilinopus regina,printed_english=Swainson's fruit pigeon
V,56,ku-gould:13672,Rose-crowned Fruit Dove. 56. plate,Rose-crowned Fruit Dove,Ptilinopus ewingii,Ptilinopus regina ewingii,printed_english=Ewing's fruit pigeon
V,57,ku-gould:13668,Superb Fruit Dove. 57. plate,Superb Fruit Dove,Superb fruit pigeon,Ptilinopus superbus,
