plate,figure,printed_name,printed_latin,scientific,common,ebird_code,taxonomy,wikidata,gbif,avibase,birdnet_label,form,confidence,caption_checked,reason,sources
72,,Swallow-tailed Hawk,,Elanoides forficatus,Swallow-tailed Kite,swtkit,eBird/Clements 2025,Q430540,2480461,1BAC66452DCC9AC9,Elanoides forficatus_Swallow-tailed Kite,,high,,Audubon's “Swallow-tailed Hawk” is today's Swallow-tailed Kite,Featherframe havell.yaml; plate title from audubon.org
73,,Wood Thrush,,Hylocichla mustelina,Wood Thrush,woothr,eBird/Clements 2025,Q599921,2490872,8E1D9327B8DAFD54,Hylocichla mustelina_Wood Thrush,,high,,,Featherframe havell.yaml; plate title from audubon.org
74,,Indigo Bird,,Passerina cyanea,Indigo Bunting,indbun,eBird/Clements 2025,Q1049642,2490327,043F337AA25E7D97,Passerina cyanea_Indigo Bunting,,high,,Audubon's “Indigo Bird” is today's Indigo Bunting,Featherframe havell.yaml; plate title from audubon.org
75,,Le Petit Caporal,,,,,,,,,,,none,,"not identified here yet: Featherframe pins one plate per species, and this is likely a second plate of one",
76,,Virginian Partridge,,Colinus virginianus,Northern Bobwhite,norbob,eBird/Clements 2025,Q142651,5228091,91CCBC719C97AE19,Colinus virginianus_Northern Bobwhite,,high,,Audubon's “Virginian Partridge” is today's Northern Bobwhite,Featherframe havell.yaml; plate title from audubon.org
77,,Belted Kingfisher,,Megaceryle alcyon,Belted Kingfisher,belkin1,eBird/Clements 2025,Q736052,2475472,3558066B4F7EEB8E,Megaceryle alcyon_Belted Kingfisher,,high,,,Featherframe havell.yaml; plate title from audubon.org
78,,Great Carolina Wren,,Thryothorus ludovicianus,Carolina Wren,carwre,eBird/Clements 2025,Q1585636,2493801,5217F951C7328A17,Thryothorus ludovicianus_Carolina Wren,,high,,Audubon's “Great Carolina Wren” is today's Carolina Wren,Featherframe havell.yaml; plate title from audubon.org
79,,Tyrant Fly-catcher,,Tyrannus tyrannus,Eastern Kingbird,easkin,eBird/Clements 2025,Q1071571,5229688,082D833CF61D6360,Tyrannus tyrannus_Eastern Kingbird,,high,,Audubon's “Tyrant Fly-catcher” is today's Eastern Kingbird,Featherframe havell.yaml; plate title from audubon.org
80,,Prairie Titlark,,,,,,,,,,,none,,"not identified here yet: Featherframe pins one plate per species, and this is likely a second plate of one",
81,,"Fish Hawk, or Osprey",,Pandion haliaetus,Osprey,osprey,eBird/Clements 2025,Q25332,2480726,5BCF1891777ED3D3,Pandion haliaetus_Osprey,,high,,"Audubon's “Fish Hawk, or Osprey” is today's Osprey",Featherframe havell.yaml; plate title from audubon.org
