volume,plate,list_name,list_latin,caption_latin,bhl_barcode,bhl_item,leaf,bhl_page,orientation,rotate,scan_url,page_url,sheet_asset,crop_asset,notes
VII,51,Cook's Petrel,Procellaria Cookii,Procellaria Cookii,birdsAustraliav7Goul,189241,212,48508913,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav7Goul/birdsAustraliav7Goul_0212.jp2,https://www.biodiversitylibrary.org/page/48508913,sheet-birdsAustraliav7Goul-0212.jpg,crop-birdsAustraliav7Goul-0212.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
VII,52,Blue Petrel,Procellaria coerulea,Procellaria coerulea,birdsAustraliav7Goul,189241,216,48508917,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav7Goul/birdsAustraliav7Goul_0216.jp2,https://www.biodiversitylibrary.org/page/48508917,sheet-birdsAustraliav7Goul-0216.jpg,crop-birdsAustraliav7Goul-0216.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
VII,53,Cape Petrel,Daption capensis,Daption capensis,birdsAustraliav7Goul,189241,220,48508921,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav7Goul/birdsAustraliav7Goul_0220.jp2,https://www.biodiversitylibrary.org/page/48508921,sheet-birdsAustraliav7Goul-0220.jpg,crop-birdsAustraliav7Goul-0220.jpg,
VII,54,Dove-like Prion,Prion turtur,,birdsAustraliav7Goul,189241,224,48508925,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav7Goul/birdsAustraliav7Goul_0224.jp2,https://www.biodiversitylibrary.org/page/48508925,sheet-birdsAustraliav7Goul-0224.jpg,crop-birdsAustraliav7Goul-0224.jpg,"caption lies in the binding gutter, not visible even at full resolution (checked); facing text leaf 225 opens ""PRION TURTUR. Dove-like Prion. Procellaria Turtur, Banks’s D""; subject consistent; not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
VII,55,Broad-billed Prion,Prion vittatus,Prion vittatus,birdsAustraliav7Goul,189241,228,48508929,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav7Goul/birdsAustraliav7Goul_0228.jp2,https://www.biodiversitylibrary.org/page/48508929,sheet-birdsAustraliav7Goul-0228.jpg,crop-birdsAustraliav7Goul-0228.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
VII,56,Short-tailed Petrel,Puffinus brevicaudus,Puffinus brevicaudus,birdsAustraliav7Goul,189241,232,48508933,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav7Goul/birdsAustraliav7Goul_0232.jp2,https://www.biodiversitylibrary.org/page/48508933,sheet-birdsAustraliav7Goul-0232.jpg,crop-birdsAustraliav7Goul-0232.jpg,
VII,57,Fleshy-footed Petrel,Puffinus carneipes,Puffinus carneipes,birdsAustraliav7Goul,189241,236,48508937,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav7Goul/birdsAustraliav7Goul_0236.jp2,https://www.biodiversitylibrary.org/page/48508937,sheet-birdsAustraliav7Goul-0236.jpg,crop-birdsAustraliav7Goul-0236.jpg,
VII,58,Wedge-tailed Petrel,Puffinus sphenurus,Puffinus sphenurus,birdsAustraliav7Goul,189241,240,48508941,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav7Goul/birdsAustraliav7Goul_0240.jp2,https://www.biodiversitylibrary.org/page/48508941,sheet-birdsAustraliav7Goul-0240.jpg,crop-birdsAustraliav7Goul-0240.jpg,
VII,59,Allied Petrel,Puffinus assimilis,Puffinus assimilis,birdsAustraliav7Goul,189241,244,48508945,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav7Goul/birdsAustraliav7Goul_0244.jp2,https://www.biodiversitylibrary.org/page/48508945,sheet-birdsAustraliav7Goul-0244.jpg,crop-birdsAustraliav7Goul-0244.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
VII,60,Diving Petrel,Puffinuria urinatrix,Puffinuria urinatrix,birdsAustraliav7Goul,189241,248,48508949,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav7Goul/birdsAustraliav7Goul_0248.jp2,https://www.biodiversitylibrary.org/page/48508949,sheet-birdsAustraliav7Goul-0248.jpg,crop-birdsAustraliav7Goul-0248.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
VII,61,White-faced Storm Petrel,Thalassidroma marina,Thalassidroma marina,birdsAustraliav7Goul,189241,252,48508953,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav7Goul/birdsAustraliav7Goul_0252.jp2,https://www.biodiversitylibrary.org/page/48508953,sheet-birdsAustraliav7Goul-0252.jpg,crop-birdsAustraliav7Goul-0252.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
VII,62,Black-bellied Storm Petrel,Thalassidroma melanogaster,Thalassidroma melanogaster,birdsAustraliav7Goul,189241,256,48508957,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav7Goul/birdsAustraliav7Goul_0256.jp2,https://www.biodiversitylibrary.org/page/48508957,sheet-birdsAustraliav7Goul-0256.jpg,crop-birdsAustraliav7Goul-0256.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
VII,63,White-bellied Storm Petrel,Thalassidroma leucogaster,Thalassidroma leucogaster,birdsAustraliav7Goul,189241,260,48508961,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav7Goul/birdsAustraliav7Goul_0260.jp2,https://www.biodiversitylibrary.org/page/48508961,sheet-birdsAustraliav7Goul-0260.jpg,crop-birdsAustraliav7Goul-0260.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
VII,64,Grey-backed Storm Petrel,Thalassidroma nereis,Thalassidroma nereis,birdsAustraliav7Goul,189241,264,48508965,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav7Goul/birdsAustraliav7Goul_0264.jp2,https://www.biodiversitylibrary.org/page/48508965,sheet-birdsAustraliav7Goul-0264.jpg,crop-birdsAustraliav7Goul-0264.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
VII,65,Wilson's Storm Petrel,Thalassidroma Wilsonii,Thalassidroma Wilsonii,birdsAustraliav7Goul,189241,268,48508969,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav7Goul/birdsAustraliav7Goul_0268.jp2,https://www.biodiversitylibrary.org/page/48508969,sheet-birdsAustraliav7Goul-0268.jpg,crop-birdsAustraliav7Goul-0268.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
VII,66,Australian Cormorant,Phalacrocorax carboides,Phalacrocorax carboides,birdsAustraliav7Goul,189241,272,48508973,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav7Goul/birdsAustraliav7Goul_0272.jp2,https://www.biodiversitylibrary.org/page/48508973,sheet-birdsAustraliav7Goul-0272.jpg,crop-birdsAustraliav7Goul-0272.jpg,
VII,67,Groove-billed Cormorant,Phalacrocorax sulcirostris,Phalacrocorax sulcirostris,birdsAustraliav7Goul,189241,276,48508977,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav7Goul/birdsAustraliav7Goul_0276.jp2,https://www.biodiversitylibrary.org/page/48508977,sheet-birdsAustraliav7Goul-0276.jpg,crop-birdsAustraliav7Goul-0276.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
VII,68,Pied Cormorant,Phalacrocorax hypoleucus,Phalacrocorax hypoleucus,birdsAustraliav7Goul,189241,280,48508981,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav7Goul/birdsAustraliav7Goul_0280.jp2,https://www.biodiversitylibrary.org/page/48508981,sheet-birdsAustraliav7Goul-0280.jpg,crop-birdsAustraliav7Goul-0280.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
VII,69,White-breasted Cormorant,Phalacrocorax leucogaster,,birdsAustraliav7Goul,189241,284,48508985,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav7Goul/birdsAustraliav7Goul_0284.jp2,https://www.biodiversitylibrary.org/page/48508985,sheet-birdsAustraliav7Goul-0284.jpg,crop-birdsAustraliav7Goul-0284.jpg,"caption lies in the binding gutter, not visible even at full resolution (checked); facing text leaf 285 opens ""PHALACROCORAX LEUCOGASTER, Gowa White-breasted Cormorant. Ph""; subject consistent; not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
VII,70,Pied Cormorant,Phalacrocorax melanoleucus,Phalacrocorax melanoleucus,birdsAustraliav7Goul,189241,288,48508989,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav7Goul/birdsAustraliav7Goul_0288.jp2,https://www.biodiversitylibrary.org/page/48508989,sheet-birdsAustraliav7Goul-0288.jpg,crop-birdsAustraliav7Goul-0288.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
VII,71,Spotted Cormorant,Phalacrocorax punctatus,Phalacrocorax punctatus,birdsAustraliav7Goul,189241,292,48508993,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav7Goul/birdsAustraliav7Goul_0292.jp2,https://www.biodiversitylibrary.org/page/48508993,sheet-birdsAustraliav7Goul-0292.jpg,crop-birdsAustraliav7Goul-0292.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
VII,72,Small Frigate Bird,Attagen Ariel,Attagen Ariel,birdsAustraliav7Goul,189241,296,48508997,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav7Goul/birdsAustraliav7Goul_0296.jp2,https://www.biodiversitylibrary.org/page/48508997,sheet-birdsAustraliav7Goul-0296.jpg,crop-birdsAustraliav7Goul-0296.jpg,
VII,73,Red-tailed Tropic Bird,Phaeton phoenicurus,Phaeton phoenicurus,birdsAustraliav7Goul,189241,300,48509001,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav7Goul/birdsAustraliav7Goul_0300.jp2,https://www.biodiversitylibrary.org/page/48509001,sheet-birdsAustraliav7Goul-0300.jpg,crop-birdsAustraliav7Goul-0300.jpg,
VII,74,Australian Pelican,Pelecanus conspicillatus,,birdsAustraliav7Goul,189241,304,48509005,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav7Goul/birdsAustraliav7Goul_0304.jp2,https://www.biodiversitylibrary.org/page/48509005,sheet-birdsAustraliav7Goul-0304.jpg,crop-birdsAustraliav7Goul-0304.jpg,"caption lies in the binding gutter, not visible even at full resolution (checked); facing text leaf 305 opens ""PELECANUS CONSPICILLATUS, Tenm. Australian Pelican. Pelecanu""; subject consistent"
VII,75,New Holland Darter,Plotus Novae-Hollandiae,,birdsAustraliav7Goul,189241,308,48509009,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav7Goul/birdsAustraliav7Goul_0308.jp2,https://www.biodiversitylibrary.org/page/48509009,sheet-birdsAustraliav7Goul-0308.jpg,crop-birdsAustraliav7Goul-0308.jpg,"caption lies in the binding gutter, not visible even at full resolution (checked); facing text leaf 309 opens ""PLOTUS NOV A=HOLLANDIAL, Gowa. New Holland Darter. Plotus No""; subject consistent"
VII,76,Australian Gannet,Sula australis,Sula australis,birdsAustraliav7Goul,189241,312,48509013,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav7Goul/birdsAustraliav7Goul_0312.jp2,https://www.biodiversitylibrary.org/page/48509013,sheet-birdsAustraliav7Goul-0312.jpg,crop-birdsAustraliav7Goul-0312.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
VII,77,Masked Gannet,Sula personata,Sula personata,birdsAustraliav7Goul,189241,316,48509017,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav7Goul/birdsAustraliav7Goul_0316.jp2,https://www.biodiversitylibrary.org/page/48509017,sheet-birdsAustraliav7Goul-0316.jpg,crop-birdsAustraliav7Goul-0316.jpg,
VII,78,Brown Gannet,Sula fusca,Sula fusca,birdsAustraliav7Goul,189241,320,48509021,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav7Goul/birdsAustraliav7Goul_0320.jp2,https://www.biodiversitylibrary.org/page/48509021,sheet-birdsAustraliav7Goul-0320.jpg,crop-birdsAustraliav7Goul-0320.jpg,
VII,79,Red-legged Gannet,Sula piscator,Sula fiber / piscator,birdsAustraliav7Goul,189241,324,48509025,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav7Goul/birdsAustraliav7Goul_0324.jp2,https://www.biodiversitylibrary.org/page/48509025,sheet-birdsAustraliav7Goul-0324.jpg,crop-birdsAustraliav7Goul-0324.jpg,
VII,80,Australian Tippet Grebe,Podiceps australis,Podiceps australis,birdsAustraliav7Goul,189241,328,48509029,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/birdsAustraliav7Goul/birdsAustraliav7Goul_0328.jp2,https://www.biodiversitylibrary.org/page/48509029,sheet-birdsAustraliav7Goul-0328.jpg,crop-birdsAustraliav7Goul-0328.jpg,
